Data publisher,Dataset,Dataset Rights,Collector name,Collector number,Field number,GUID,Date collected,Institution code,Collection code,Catalogue No,Basis of record,Image url,Last indexed,Identifier,Identification date,Scientific name,Author,Scientific name (interpreted),Kingdom,Phylum,Class,Order,Family,Genus,Country,Country (interpreted),Locality,County,Continent or Ocean,State/Province,Region,Publisher country,Latitude,Longitude,Coordinate precision,Cell id,Centi cell id,Min depth,Max depth,Max depth,Min altitude,Max altitude,Altitude precision,GBIF portal url,GBIF webservice url,
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1990-09-03 00:00:00.0,AADC,NSSD,NSSD-5597,Observation,,2011-06-22 21:26:46.0,,,Tursiops truncatus,Montagu1821,Tursiops truncatus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,Australia,Australia,pt. hillier 16021nm,,,,Australia and New Zealand,Australia,-35.416668,117.26667,500,19737,52,0,0,,,,,http://data.gbif.org/occurrences/96107291,http://data.gbif.org/ws/rest/occurrence/get?key=96107291
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1997-08-25 00:00:00.0,AADC,NSSD,NSSD-5677,Observation,,2011-06-22 21:26:27.0,,,Megaptera novaeangliae,(Borowski1781),Megaptera novaeangliae,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera,Australia,Australia,,,,,Australia and New Zealand,Australia,-26.583334,113.333336,500,22973,43,0,0,,,,,http://data.gbif.org/occurrences/96107323,http://data.gbif.org/ws/rest/occurrence/get?key=96107323
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1990-06-12 00:00:00.0,AADC,NSSD,NSSD-3533,Observation,,2011-06-22 21:26:09.0,,,Eubalaena australis,(Desmoulins1822),Eubalaena australis,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Eubalaena,Australia,Australia,Off Norfolk Is,,,,Australia and New Zealand,Australia,-29.583334,168.91667,500,21948,49,0,0,,,,,http://data.gbif.org/occurrences/96105682,http://data.gbif.org/ws/rest/occurrence/get?key=96105682
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1980-03-15 00:00:00.0,AADC,NSSD,NSSD-3683,Observation,,2011-06-22 21:26:10.0,,,Globicephala sp.,,Globicephala,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Globicephala,Australia,Australia,East of ulladulla,,,,Australia and New Zealand,Australia,-35.233334,150.96666,500,19770,79,0,0,,,,,http://data.gbif.org/occurrences/96105714,http://data.gbif.org/ws/rest/occurrence/get?key=96105714
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1979-08-11 00:00:00.0,AADC,NSSD,NSSD-4784,Observation,,2011-06-22 21:26:22.0,,,Eubalaena australis,(Desmoulins1822),Eubalaena australis,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Eubalaena,Australia,Australia,Wollongong Lighthouse,,,,Australia and New Zealand,Australia,-34.466667,150.98334,500,20130,59,0,0,,,,,http://data.gbif.org/occurrences/96105929,http://data.gbif.org/ws/rest/occurrence/get?key=96105929
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1979-03-12 00:00:00.0,AADC,NSSD,NSSD-4887,Observation,,2011-06-22 21:26:23.0,,,Globicephala sp.,,Globicephala,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Globicephala,Australia,Australia,,,,,Australia and New Zealand,Australia,-35.266666,134.15,500,19754,71,0,0,,,,,http://data.gbif.org/occurrences/96105961,http://data.gbif.org/ws/rest/occurrence/get?key=96105961
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1999-04-03 00:00:00.0,AADC,NSSD,NSSD-6058,Observation,,2011-06-22 21:26:33.0,,,Delphinidae sp.,,Delphinidae,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinidae,Australia,Australia,,,,,Australia and New Zealand,Australia,-9.633333,143.48334,500,29123,34,0,0,,,,,http://data.gbif.org/occurrences/96106199,http://data.gbif.org/ws/rest/occurrence/get?key=96106199
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1997-07-29 00:00:00.0,AADC,NSSD,NSSD-6239,Observation,,2011-06-22 21:26:35.0,,,Delphinidae sp.,,Delphinidae,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinidae,Australia,Australia,,,,,Australia and New Zealand,Australia,-13.916667,125.666664,500,27665,6,0,0,,,,,http://data.gbif.org/occurrences/96106231,http://data.gbif.org/ws/rest/occurrence/get?key=96106231
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1982-11-28 00:00:00.0,AADC,NSSD,NSSD-3633,Observation,,2011-06-22 21:26:40.0,,,Physeter macrocephalus,Linnaeus1758,Physeter macrocephalus,Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,Australia,Australia,,,,,Australia and New Zealand,Australia,-36.95,150.5,500,19410,5,0,0,,,,,http://data.gbif.org/occurrences/96106446,http://data.gbif.org/ws/rest/occurrence/get?key=96106446
Australian Antarctic Data Centre,National Whale and Dolphin Sightings and Strandings Database,Data are freely available through GBIF OBIS SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products please acknowledge the source.,,,,,1980-03-28 00:00:00.0,AADC,NSSD,NSSD-3691,Observation,,2011-06-22 21:26:40.0,,,Physeter macrocephalus,Linnaeus1758,Physeter macrocephalus,Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,Australia,Australia,,,,,Australia and New Zealand,Australia,-36.25,151.33333,500,19411,73,0,0,,,,,http://data.gbif.org/occurrences/96106478,http://data.gbif.org/ws/rest/occurrence/get?key=96106478
