class,scientific,english
Mammalia,Aethomys hindei,Hinde's Rock Rat
Mammalia,Aethomys ineptus,Tete Veld Aethomys
Mammalia,Aethomys kaiseri,Kaiser's Rock Rat
Mammalia,Aethomys namaquensis,Namaqua Rock Rat
Mammalia,Aethomys nyikae,Nyika Rock Rat
Mammalia,Aethomys silindensis,"Selinda Veld Rat, Silinda Rock Rat"
Mammalia,Aethomys stannarius,Tinfields Rock Rat
Mammalia,Aethomys thomasi,Thomas's Rock Rat
Mammalia,Ailuropoda melanoleuca,Giant Panda
Mammalia,Ailurops melanotis,Talaud Bear Cuscus
Mammalia,Ailurops ursinus,"Bear Cuscus, Bear Phalanger, Sulawesi Bear Cuscus"
Mammalia,Ailurus fulgens,"Red Panda, Lesser Panda, Red Cat-bear, Tolai Hare"
Mammalia,Akodon aerosus,Highland Grass Mouse
Mammalia,Akodon affinis,Colombian Grass Mouse
Mammalia,Akodon albiventer,White-bellied Grass Mouse
Mammalia,Akodon aliquantulus,Diminutive Akodont
Mammalia,Akodon azarae,Azara's Grass Mouse
Mammalia,Akodon bogotensis,Bogota Grass Mouse
Mammalia,Akodon boliviensis,Bolivian Grass Mouse
Mammalia,Akodon budini,Budin's Grass Mouse
Mammalia,Akodon cursor,"Cursor Grass Mouse, Cusorial Akodont"
Mammalia,Akodon dayi,Day's Grass Mouse
Mammalia,Akodon dolores,"Córdoba Akodont, Dolorous Grass Mouse"
Mammalia,Akodon fumeus,Smoky Grass Mouse
Mammalia,Akodon iniscatus,"Intelligent Grass Mouse, Patagonian Akodont"
Mammalia,Akodon juninensis,Junin Grass Mouse
Mammalia,Akodon kofordi,Koford's Grass Mouse
Mammalia,Akodon latebricola,Ecuadorean Grass Mouse
Mammalia,Akodon leucolimnaeus,
Mammalia,Akodon lindberghi,Lindbergh's Grass Mouse
Mammalia,Akodon lutescens,Altiplano Grass Mouse
Mammalia,Akodon mimus,Thespian Grass Mouse
Mammalia,Akodon molinae,Molina's Grass Mouse
Mammalia,Akodon mollis,Soft Grass Mouse
Mammalia,Akodon montensis,Montane Akodont
Mammalia,Akodon mystax,
Mammalia,Akodon neocenus,"Neuquén Akodont, Neuquen Grass Mouse"
Mammalia,Akodon oenos,Monte Akodont
Mammalia,Akodon orophilus,El Dorado Grass Mouse
Mammalia,Akodon paranaensis,Paraná Akodont
Mammalia,Akodon pervalens,Tarija Akodont
Mammalia,Akodon philipmyersi,
Mammalia,Akodon reigi,Reigâ€™s Akodont
Mammalia,Akodon sanctipaulensis,Sao Paulo Grass Mouse
Mammalia,Akodon serrensis,"Serrado Do Mar Grass Mouse, Serrado Mar Grass Mouse"
Mammalia,Akodon siberiae,Cochabamba Grass Mouse
Mammalia,Akodon simulator,"Gray-bellied Grass Mouse, Gray-ellied Grass Mouse"
Mammalia,Akodon spegazzinii,Spegazzini's Grass Mouse
Mammalia,Akodon subfuscus,Puno Grass Mouse
Mammalia,Akodon surdus,Silent Grass Mouse
Mammalia,Akodon sylvanus,Forest Grass Mouse
Mammalia,Akodon toba,Chaco Grass Mouse
Mammalia,Akodon torques,Cloud Forest Grass Mouse
Mammalia,Akodon varius,Variable Grass Mouse
Mammalia,Alcelaphus buselaphus,"Hartebeest, Swayne's Hartebeest"
Mammalia,Alcelaphus buselaphus,Bubal Hartebeest
Mammalia,Alcelaphus buselaphus,Red Hartebeest
Mammalia,Alcelaphus buselaphus,Coke's Hartebeest
Mammalia,Alcelaphus buselaphus,Lelwel Hartebeest
Mammalia,Alcelaphus buselaphus,Lichtenstein's Hartebeest
Mammalia,Alcelaphus buselaphus,Western Hartebeest
Mammalia,Alcelaphus buselaphus,Swayne's Hartebeest
Mammalia,Alcelaphus buselaphus,Tora Hartebeest
Mammalia,Alces alces,"Eurasian Elk, Moose, Elk, Eurasian Moose, European Elk, Siberian Elk"
Mammalia,Alces americanus,"Moose, Siberian Elk"
Mammalia,Alionycteris paucidentata,Mindanao Pygmy Fruit Bat
Mammalia,Allactaga balikunica,Balikun Jerboa
Mammalia,Allactaga bullata,Gobi Jerboa
Mammalia,Allactaga elater,"Small Five-toed Jerboa, Small Five-toed Jerboa"
Mammalia,Allactaga euphratica,Euphrates Jerboa
Mammalia,Allactaga firouzi,Iranian Jerboa
Mammalia,Allactaga hotsoni,"Hotsonâ€™s Five-toed Jerboa, Hotson's Jerboa"
Mammalia,Allactaga major,Great Jerboa
Mammalia,Allactaga severtzovi,Svertzov's Jerboa
Mammalia,Allactaga sibirica,"Siberian Jerboa, Mongolian Five-toed Jerboa"
Mammalia,Allactaga tetradactyla,Four-toed Jerboa
Mammalia,Allactaga vinogradovi,Vinogradov's Jerboa
Mammalia,Allactaga williamsi,
Mammalia,Allactodipus bobrinskii,Bobrinski's Jerboa
Mammalia,Allenopithecus nigroviridis,Allen's Swamp Monkey
Mammalia,Allocebus trichotis,Hairy-eared Dwarf Lemur
Mammalia,Allocricetulus curtatus,Mongolian Hamster
Mammalia,Allocricetulus eversmanni,Eversmann's Hamster
Mammalia,Alopex lagopus,"Arctic Fox, Polar Fox"
Mammalia,Alouatta arctoidea,Ursine Howler Monkey
