class,scientific,english
Mammalia,Sminthopsis leucopus,White-footed Dunnart
Mammalia,Sminthopsis longicaudata,Long-tailed Dunnart
Mammalia,Sminthopsis macroura,Stripe-faced Dunnart
Mammalia,Sminthopsis murina,"Common Dunnart, Slender-tailed Dunnart"
Mammalia,Sminthopsis ooldea,Ooldea Dunnart
Mammalia,Sminthopsis psammophila,"Sandhill Dunnart, Large Desert Marsupial-mouse, Sandhill Sminthopsis"
Mammalia,Sminthopsis virginiae,Red-cheeked Dunnart
Mammalia,Sminthopsis youngsoni,Lesser Hairy-footed Dunnart
Mammalia,Smutsia gigantea,"Giant Ground Pangolin, Giant Pangolin"
Mammalia,Smutsia temminckii,"Cape Pangolin, Ground Pangolin, Scaly Anteater, South African Pangolin, Temminck's Ground Pangolin"
Mammalia,Solenodon cubanus,"Almiqui, Cuban Solenodon"
Mammalia,Solenodon marcanoi,Marcano's Solenodon
Mammalia,Solenodon paradoxus,"Haitian Solenodon, Hispaniolan Solenodon"
Mammalia,Solisorex pearsoni,Pearson's Long-clawed Shrew
Mammalia,Solomys ponceleti,"Poncelet's Giant Rat, Poncelet's Naked-tailed Rat"
Mammalia,Solomys salamonis,"Florida Giant Rat, Florida Naked-tailed Rat"
Mammalia,Solomys salebrosus,"Bougainville Giant Rat, Bougainville Naked-tailed Rat"
Mammalia,Solomys sapientis,"Isabel Giant Rat, Isabel Naked-tailed Rat"
Mammalia,Sommeromys macrorhinos,Sommerâ€™s Sulawesi Rat
Mammalia,Sooretamys angouya,
Mammalia,Sorex alaskanus,Glacier Bay Water Shrew
Mammalia,Sorex alpinus,Alpine Shrew
Mammalia,Sorex antinorii,"Valais Shrew, VALAIS SHREW"
Mammalia,Sorex araneus,"Common Shrew, Eurasian Shrew"
Mammalia,Sorex arcticus,Arctic Shrew
Mammalia,Sorex arizonae,Arizona Shrew
Mammalia,Sorex arunchi,"Udine Shrew, UDINE SHREW"
Mammalia,Sorex asper,Tien Shan Shrew
Mammalia,Sorex bairdi,Baird's Shrew
Mammalia,Sorex bedfordiae,"Lesser Stripe-backed Shrew, Lesser Striped Shrew"
Mammalia,Sorex bendirii,"Marsh Shrew, Pacific Water Shrew"
Mammalia,Sorex buchariensis,Pamir Shrew
Mammalia,Sorex caecutiens,"Laxmann's Shrew, Masked Shrew, MASKED SHREW"
Mammalia,Sorex camtschatica,Kamchatcka Shrew
Mammalia,Sorex cansulus,Gansu Shrew
Mammalia,Sorex cinereus,"Cinereus Shrew, Masked Shrew"
Mammalia,Sorex coronatus,"Crowned Shrew, Millet's Shrew"
Mammalia,Sorex cylindricauda,"Stripe-backed Shrew, Greater Stripe-backed Shrew"
Mammalia,Sorex daphaenodon,Large-toothed Siberian Shrew
Mammalia,Sorex dispar,Long-tailed Shrew
Mammalia,Sorex emarginatus,Zacatecas Shrew
Mammalia,Sorex excelsus,"Highland Shrew, Lofty Shrew"
Mammalia,Sorex fumeus,Smoky Shrew
Mammalia,Sorex gracillimus,Slender Shrew
Mammalia,Sorex granarius,"Iberian Shrew, Lagranja Shrew"
Mammalia,Sorex haydeni,"Prairie Shrew, Hayden's Shrew"
Mammalia,Sorex hosonoi,Azumi Shrew
Mammalia,Sorex hoyi,"American Pygmy Shrew, Pygmy Shrew"
Mammalia,Sorex isodon,"Even-toothed Shrew, Taiga Shrew, TAIGA SHREW"
Mammalia,Sorex ixtlanensis,Ixtlan Shrew
Mammalia,Sorex jacksoni,"Saint Lawrence Island Shrew, St Lawrence Island Shrew"
Mammalia,Sorex kozlovi,Kozlov's Shrew
Mammalia,Sorex leucogaster,Paramushir Shrew
Mammalia,Sorex longirostris,Southeastern Shrew
Mammalia,Sorex lyelli,Mount Lyell Shrew
Mammalia,Sorex macrodon,Large-toothed Shrew
Mammalia,Sorex maritimensis,Maritime Shrew
Mammalia,Sorex mediopua,Jalisco Shrew
Mammalia,Sorex merriami,Merriam's Shrew
Mammalia,Sorex milleri,Carmen Mountain Shrew
Mammalia,Sorex minutissimus,"Eurasian Least Shrew, Least Shrew, Least Siberian Shrew, Miniscule Shrew"
Mammalia,Sorex minutus,"Eurasian Pygmy Shrew, Pygmy Shrew"
Mammalia,Sorex mirabilis,Ussuri Shrew
Mammalia,Sorex monticolus,"Dusky Shrew, Montane Shrew"
Mammalia,Sorex nanus,Dwarf Shrew
Mammalia,Sorex neomexicanus,New Mexico Shrew
Mammalia,Sorex oreopolus,Mexican Long-tailed Shrew
Mammalia,Sorex orizabae,Orizaba Shrew
Mammalia,Sorex ornatus,Ornate Shrew
Mammalia,Sorex pacificus,Pacific Shrew
Mammalia,Sorex palustris,"American Water Shrew, Water Shrew"
Mammalia,Sorex planiceps,Kashmir Shrew
Mammalia,Sorex portenkoi,Portenko's Shrew
Mammalia,Sorex preblei,Preble's Shrew
Mammalia,Sorex pribilofensis,Pribilof Island Shrew
Mammalia,Sorex raddei,Radde's Shrew
Mammalia,Sorex roboratus,Flat-skulled Shrew
Mammalia,Sorex rohweri,Olympic Shrew
Mammalia,Sorex samniticus,"Appenine Shrew, Appennine Shrew"
Mammalia,Sorex satunini,Caucasian Shrew
Mammalia,Sorex saussurei,Saussure's Shrew
Mammalia,Sorex sclateri,Sclater's Shrew
Mammalia,Sorex shinto,Shinto Shrew
Mammalia,Sorex sinalis,"Chinese Shrew, Dusky Shrew"
Mammalia,Sorex sonomae,Fog Shrew
Mammalia,Sorex stizodon,San Cristobal Shrew
Mammalia,Sorex tenellus,Inyo Shrew
Mammalia,Sorex thibetanus,Tibetan Shrew
Mammalia,Sorex trowbridgii,Trowbridge's Shrew
Mammalia,Sorex tundrensis,"Tundra Shrew, TUNDRA SHREW"
Mammalia,Sorex ugyunak,Barren Ground Shrew
Mammalia,Sorex unguiculatus,Long-clawed Shrew
Mammalia,Sorex vagrans,Vagrant Shrew
Mammalia,Sorex ventralis,Chestnut-bellied Shrew
Mammalia,Sorex veraecrucis,
Mammalia,Sorex veraepacis,Verapaz Shrew
Mammalia,Sorex volnuchini,"Caucasian Pygmy Shrew, Ukrainian Shrew"
Mammalia,Sorex yukonicus,"Alaska Tiny Shrew, Least Shrew, Least Siberian Shrew, Miniscule Shrew"
Mammalia,Soriculus nigrescens,"Himalayan Shrew, Sikkim Large-clawed Shrew"
Mammalia,Sotalia fluviatilis,"Estuarine Dolphin, Gray Dolphin, Guianian River Dolphin, Tucuxi"
Mammalia,Sousa chinensis,"Indo-pacific Hump-backed Dolphin, Indo-Pacific Humpbacked Dolphin, Chinese White Dolphin, Indo-pacific Humpback Dolphin"
Mammalia,Sousa chinensis,Indo-pacific Humpback Dolphin
Mammalia,Sousa teuszii,"Atlantic Humpbacked Dolphin, Atlantic Hump-backed Dolphin, Teusz's Dolphin"
Mammalia,Spalacopus cyanus,Coruro
Mammalia,Spalax arenarius,"Sandy Mole Rat, SANDY MOLE RAT"
Mammalia,Spalax ehrenbergi,"Middle East Blind Mole Rat, Palestine Mole Rat"
Mammalia,Spalax giganteus,"Giant Blind Mole Rat, GIANT BLIND MOLE RAT, Giant Mole Rat, GIANT MOLE RAT, Russian Mole Rat, RUSSIAN MOLE RAT"
Mammalia,Spalax graecus,"Balkan Blind Mole Rat, BALKAN BLIND MOLE RAT, Balkan Mole Rat, BALKAN MOLE RAT, Bukovin Mole Rat"
Mammalia,Spalax leucodon,"Lesser Blind Mole Rat, LESSER BLIND MOLE RAT, Lesser Mole Rat"
Mammalia,Spalax microphthalmus,"Greater Blind Mole Rat, GREATER BLIND MOLE RAT, Greater Mole Rat, GREATER MOLE RAT"
Mammalia,Spalax nehringi,"Nehring's Bilind Mole Rat, Nehring's Blind Mole Rat, NEHRINGâ€™S BLIND MOLE RAT"
Mammalia,Spalax uralensis,"Kazakhstan Blind Mole Rat, Ural Blind Mole Rat"
Mammalia,Spalax zemni,"Podolian Mole Rat, PODOLIAN MOLE RAT, Podolsk Mole Rat, PODOLSK MOLE RAT"
Mammalia,Speothos venaticus,"Bush Dog, Savannah Dog, Vinegar Dog"
Mammalia,Spermophilopsis leptodactylus,Long-clawed Ground Squirrel
Mammalia,Spermophilus adocetus,Tropical Ground Squirrel
Mammalia,Spermophilus alashanicus,Alashan Ground Squirrel
Mammalia,Spermophilus annulatus,Ring-tailed Ground Squirrel
Mammalia,Spermophilus armatus,Uinita Ground Squirrel
Mammalia,Spermophilus atricapillus,Baja California Rock Squirrel
Mammalia,Spermophilus beecheyi,California Ground Squirrel
Mammalia,Spermophilus beldingi,"Belding's Ground Squirell, Belding's Ground Squirrel"
Mammalia,Spermophilus brevicauda,Brandt's Ground Squirrel
Mammalia,Spermophilus brunneus,Idaho Ground Squirrel
Mammalia,Spermophilus canus,Merriam's Ground Squirrel
Mammalia,Spermophilus citellus,"European Ground Squirrel, EUROPEAN GROUND SQUIRREL, European Souslik, European Squirrel"
Mammalia,Spermophilus columbianus,Columbian Ground Squirrel
Mammalia,Spermophilus dauricus,Daurian Ground Squirrel
Mammalia,Spermophilus elegans,"Nevada Ground Squirrel, Wyoming Ground Squirrel"
Mammalia,Spermophilus erythrogenys,Red-cheeked Ground Squirrel
Mammalia,Spermophilus franklinii,Franklin's Ground Squirrel
Mammalia,Spermophilus fulvus,"Yellow Ground Squirrel, YELLOW GROUND SQUIRREL"
Mammalia,Spermophilus lateralis,"Golden Mantled Ground Squirrel, Green River Basin Golden-mantled Ground Squirrel"
Mammalia,Spermophilus madrensis,Sierra Madre Ground Squirrel
Mammalia,Spermophilus major,"Russet Ground Squirrel, RUSSET GROUND SQUIRREL"
Mammalia,Spermophilus mexicanus,Mexican Ground Squirrel
Mammalia,Spermophilus mohavensis,Mohave Ground Squirrel
Mammalia,Spermophilus mollis,"Piute Ground Squirrel, Great Basin Ground Squirrel"
Mammalia,Spermophilus musicus,Caucasian Mountain Ground Squirrel
Mammalia,Spermophilus pallidicauda,Pallid Ground Squirrel
Mammalia,Spermophilus parryii,Arctic Ground Squirrel
Mammalia,Spermophilus perotensis,Perote Ground Squirrel
Mammalia,Spermophilus pygmaeus,"Little Ground Squirrel, LITTLE GROUND SQUIRREL"
Mammalia,Spermophilus ralli,Tien Shan Ground Squirrel
Mammalia,Spermophilus relictus,Tien Shan Ground Squirrel
Mammalia,Spermophilus richardsonii,Richardson's Ground Squirrel
Mammalia,Spermophilus saturatus,"Cascade Golden-mantled Ground Squirrel, Hooded Skunk"
Mammalia,Spermophilus spilosoma,"Spotted Ground Squirrel, Striped Skunk"
Mammalia,Spermophilus suslicus,"Speckled Ground Squirrel, SPECKLED  GROUND SQUIRREL, Spotted Souslik"
Mammalia,Spermophilus taurensis,
Mammalia,Spermophilus tereticaudus,"Round-tailed Ground Squirrel, Two-spotted Palm Civet"
Mammalia,Spermophilus townsendii,Townsend's Ground Squirrel
Mammalia,Spermophilus tridecemlineatus,"Big Horn Thirteen-lined Ground Squirrel, Spotted Skunk, Thirteen-lined Ground Squirrel"
Mammalia,Spermophilus undulatus,Long-tailed Ground Squirrel
Mammalia,Spermophilus variegatus,"Rock Squirrel, Water Mongoose"
Mammalia,Spermophilus washingtoni,Washington Ground Squirrel
Mammalia,Spermophilus xanthoprymnus,Asia Minor Ground Squirrel
Mammalia,Sphaerias blanfordi,"Blandford's Fruit Bat, Blanford's Fruit Bat"
Mammalia,Sphaeronycteris toxophyllum,Visored Bat
Mammalia,Sphiggurus ichillus,
Mammalia,Sphiggurus insidiosus,Bahia Hairy Dwarf Porcupine
Mammalia,Sphiggurus melanurus,
Mammalia,Sphiggurus mexicanus,"Mexican Hairy Dwarf Porcupine, Mexican Tree Porcupine"
Mammalia,Sphiggurus pruinosus,
Mammalia,Sphiggurus roosmalenorum,
Mammalia,Sphiggurus spinosus,"Paraguay Hairy Dwarf Porcupine, Spiny Tree Porcupine"
Mammalia,Sphiggurus vestitus,Brown Hairy Dwarf Porcupine
Mammalia,Sphiggurus villosus,Orange-spined Hairy Dwarf Porcupine
Mammalia,Spilocuscus kraemeri,"Admiralty Cuscus, Manus Island Spotted Cuscus"
Mammalia,Spilocuscus maculatus,"Common Spotted Cuscus, Short-tailed Spotted Cuscus, Spotted Phalanger"
Mammalia,Spilocuscus papuensis,"Waigeo Cuscus, Waigeo Spotted Cuscus"
Mammalia,Spilocuscus rufoniger,Black-spotted Cuscus
Mammalia,Spilocuscus wilsoni,"Blue-eyed Spotted Cuscus, Biak Spotted Cuscus"
Mammalia,Spilogale angustifrons,Southern Spotted Skunk
Mammalia,Spilogale gracilis,Western Spotted Skunk
Mammalia,Spilogale putorius,"Eastern Spotted Skunk, Spotted Skunk"
Mammalia,Spilogale pygmaea,Pygmy Spotted Skunk
Mammalia,Srilankamys ohiensis,Ohiya Rat
Mammalia,Steatomys bocagei,
Mammalia,Steatomys caurinus,Northwestern Fat Mouse
Mammalia,Steatomys cuppedius,Dainty Fat Mouse
Mammalia,Steatomys jacksoni,Jackson's Fat Mouse
Mammalia,Steatomys krebsii,Kreb's Fat Mouse
Mammalia,Steatomys opimus,
Mammalia,Steatomys parvus,Tiny Fat Mouse
Mammalia,Steatomys pratensis,Fat Mouse
Mammalia,Stenella attenuata,"Pantropical Spotted Dolphin, Bridled Dolphin, Narrow-snouted Dolphin"
Mammalia,Stenella clymene,"Clymene Dolphin, Atlantic Spinner Dolphin, Helmet Dolphin"
Mammalia,Stenella coeruleoalba,"Striped Dolphin, Euphrosyne Dolphin"
Mammalia,Stenella frontalis,"Atlantic Spotted Dolphin, Bridled Dolphin"
Mammalia,Stenella longirostris,"Spinner Dolphin, Long-beaked Dolphin, Long-snouted Dolphin"
Mammalia,Stenella longirostris,Eastern Spinner Dolphin
Mammalia,Steno bredanensis,Rough-toothed Dolphin
Mammalia,Stenocephalemys albipes,"Ethiopian White-footed Mouse, White-footed Stenocephalemys"
Mammalia,Stenocephalemys albocaudata,Ethiopian Narrow-headed Rat
Mammalia,Stenocephalemys griseicauda,Gray-tailed Narrow-headed Rat
Mammalia,Stenocephalemys ruppi,"Rupp's Mouse, Rupp's Stenocephalemys, Ruppâ€™s Stenocephalemys"
Mammalia,Stenoderma rufum,Red Fruit Bat
Mammalia,Stochomys longicaudatus,Target Rat
Mammalia,Strigocuscus celebensis,"Small Sulawesi Cuscus, Little Celebes Cuscus, Small Cuscus"
Mammalia,Strigocuscus pelengensis,Peleng Cuscus
Mammalia,Sturnira aratathomasi,"Aratathomas's Yellow0shouldered Bat, Aratathomas's Yellow Shouldered Bat"
Mammalia,Sturnira bidens,Bidentate Yellow-shouldered Bat
Mammalia,Sturnira bogotensis,Bogota Yellow-shouldered Bat
Mammalia,Sturnira erythromos,Hairy Yellow-shouldered Bat
Mammalia,Sturnira lilium,Little Yellow-shouldered Bat
Mammalia,Sturnira ludovici,Highland Yellow-shouldered Bat
Mammalia,Sturnira luisi,Louis's Yellow-shouldered Bat
Mammalia,Sturnira magna,Greater Yellow-shouldered Bat
Mammalia,Sturnira mistratensis,
Mammalia,Sturnira mordax,Talamancan Yellow-shouldered Bat
Mammalia,Sturnira nana,Lesser Yellow-shouldered Bat
Mammalia,Sturnira oporaphilum,Tschudi's Yellow-shouldered Bat
Mammalia,Sturnira sorianoi,
Mammalia,Sturnira thomasi,Thomas's Yellow-shouldered Bat
Mammalia,Sturnira tildae,Tilda Yellow-shouldered Bat
Mammalia,Styloctenium mindorensis,Wallaceâ€™s Stripe-faced Fruit Bat
Mammalia,Styloctenium wallacei,Stripe-faced Fruit Bat
Mammalia,Stylodipus andrewsi,"Andrews's Three-toed Jerboa, Mongolian Jerboa"
Mammalia,Stylodipus sungorus,Mongolian Three-toed Jerboa
Mammalia,Stylodipus telum,"Thick-tailed Three-toed Jerboa, THICK-TAILED THREE-TOED JERBOA"
Mammalia,Suncus aequatorius,
Mammalia,Suncus ater,Black Shrew
Mammalia,Suncus dayi,Day's Shrew
Mammalia,Suncus etruscus,"Etruscan Shrew, Pygmy White-toothed Shrew, Savi's Pygmy Shrew, White-toothed Pygmy Shrew"
Mammalia,Suncus fellowesgordoni,"Ceylon Pygmy Shrew, Sri Lanka Shrew"
Mammalia,Suncus hosei,"Bornean Pgymy Shrew, Hose's Shrew"
Mammalia,Suncus infinitesimus,Least Dwarf Shrew
Mammalia,Suncus lixus,Greater Dwarf Shrew
Mammalia,Suncus madagascariensis,Madagascan Shrew
Mammalia,Suncus malayanus,"Malayan Pgymy Shrew, Malayan Pygmy Shrew"
Mammalia,Suncus megalura,Climbing Shrew
Mammalia,Suncus mertensi,Flores Shrew
Mammalia,Suncus montanus,"Hill Shrew, Montane Shrew, Sri Lanka Highland Shrew"
Mammalia,Suncus murinus,"House Shrew, Asian House Shrew"
Mammalia,Suncus remyi,"Gabon Dwarf Shrew, Remy's Pygmy Shrew, Remy's Shrew"
Mammalia,Suncus stoliczkanus,Anderson's Shrew
Mammalia,Suncus varilla,Lesser Dwarf Shrew
Mammalia,Suncus zeylanicus,"Ceylon Jungle Shrew, Jungle Shrew, Sri Lankan Shrew Shrew; Sri Lankan Shrew"
Mammalia,Sundamys infraluteus,"Mountain Sundamys, Mountain Giant Rat"
Mammalia,Sundamys maxi,"Javan Sundamys, Bartels's Rat"
Mammalia,Sundamys muelleri,"MÃ¼llerâ€™s Sundamys, Müller's Giant Sunda Rat"
Mammalia,Sundasciurus brookei,Brooke's Squirrel
Mammalia,Sundasciurus davensis,Davao Squirrel
Mammalia,Sundasciurus fraterculus,Fraternal Squirrel
Mammalia,Sundasciurus hippurus,Horse-tailed Squirrel
Mammalia,Sundasciurus hoogstraali,Busuanga Squirrel
Mammalia,Sundasciurus jentinki,Jentink's Squirrel
Mammalia,Sundasciurus juvencus,Northern Palawan Tree Squirrel
Mammalia,Sundasciurus lowii,Low's Squirrel
Mammalia,Sundasciurus mindanensis,Mindanao Squirrel
Mammalia,Sundasciurus moellendorffi,Culion Tree Squirrel
Mammalia,Sundasciurus philippinensis,Philippine Tree Squirrel
Mammalia,Sundasciurus rabori,Palawan Montane Squirrel
Mammalia,Sundasciurus samarensis,Samar Squirrel
Mammalia,Sundasciurus steerii,Southern Palawan Tree Squirrel
Mammalia,Sundasciurus tenuis,Slender Squirrel
Mammalia,Surdisorex norae,"Aberdare Mole Shrew, Aberdare Shrew"
Mammalia,Surdisorex polulus,"Mt. Kenya Mole Shrew, Mt. Kenya Shrew"
Mammalia,Suricata suricatta,"Meerkat, Slender-tailed Meerkat, Suricate"
Mammalia,Sus ahoenobarbus,Palawan Bearded Pig
Mammalia,Sus barbatus,"Bearded Pig, Western Bearded Pig"
Mammalia,Sus bucculentus,"Indo-chinese Warty Pig, Heude's Pig, Vietnam Warty Pig"
Mammalia,Sus cebifrons,Visayan Warty Pig
Mammalia,Sus celebensis,"Sulawesi Warty Pig, Celebes Pig, Celebes Warty Pig, Celebes Wild Boar"
Mammalia,Sus oliveri,Oliver's Warty Pig
Mammalia,Sus philippensis,Philippine Warty Pig
Mammalia,Sus scrofa,"Eurasian Wild Pig, Wild Boar, Ryukyu Islands Wild Pig"
Mammalia,Sus verrucosus,"Javan Warty Pig, Javan Pig"
Mammalia,Syconycteris australis,"Common Blossom Bat, Eastern Blossom Bat, Southern Blossom Bat"
Mammalia,Syconycteris carolinae,"Halmaheran Blossom Bat, Halmahera Blossom Bat, North Moluccan Blossum-bat"
Mammalia,Syconycteris hobbit,Moss-forest Blossom Bat
Mammalia,Sylvicapra grimmia,"Common Duiker, Grey Duiker"
Mammalia,Sylvilagus aquaticus,Swamp Rabbit
Mammalia,Sylvilagus audubonii,"Desert Cottontail, Audubon's Cottontail"
Mammalia,Sylvilagus bachmani,"Brush Rabbit, Riparian Brush Rabbit"
Mammalia,Sylvilagus brasiliensis,"Tapeti, Forest Rabbit"
Mammalia,Sylvilagus cognatus,Manzano Mountain Cottontail
Mammalia,Sylvilagus cunicularius,Mexican Cottontail
Mammalia,Sylvilagus dicei,Dice's Cottontail
Mammalia,Sylvilagus floridanus,Eastern Cottontail
Mammalia,Sylvilagus graysoni,"Tres Marias Cottontail, Tres Marias Rabbit"
Mammalia,Sylvilagus insonus,"Omilteme Cottontail, Omiltemi Rabbit"
Mammalia,Sylvilagus mansuetus,San Jose Brush Rabbit
Mammalia,Sylvilagus nuttallii,"Mountain Cottontail, Nuttall's Cottontail"
Mammalia,Sylvilagus obscurus,"Appalachian Cottontail, Allegheny Cottontail, Wood Rabbit"
Mammalia,Sylvilagus palustris,"Marsh Rabbit, Key Rabbit, Lower Keys Marsh Rabbit, Lower Keys Rabbit"
Mammalia,Sylvilagus robustus,Robust Cottontail
Mammalia,Sylvilagus transitionalis,"New England Cottontail, Wood Rabbit"
Mammalia,Sylvilagus varynaensis,"Venezuelan Lowland Rabbit, Barinas Wild Rabbit"
Mammalia,Sylvisorex camerunensis,
Mammalia,Sylvisorex granti,"Grant's Forest Shrew, Grant's Shrew"
Mammalia,Sylvisorex howelli,"Howell's Forest Shrew, Howell's Shrew"
Mammalia,Sylvisorex isabellae,"Bioko Forest Shrew, Isabella Shrew"
Mammalia,Sylvisorex johnstoni,"Johnston's Forest Shrew, Johnston's Shrew"
Mammalia,Sylvisorex konganensis,Kongana Shrew
Mammalia,Sylvisorex lunaris,"Moon Forest Shrew, Crescent Shrew"
Mammalia,Sylvisorex morio,"Arrogant Shrew, Mt. Cameroon Forest Shrew"
Mammalia,Sylvisorex ollula,"Forest Musk Shrew, Greater Forest Shrew"
Mammalia,Sylvisorex oriundus,"Lesser Forest Shrew, Mountain Shrew"
Mammalia,Sylvisorex pluvialis,Rain Forest Shrew
Mammalia,Sylvisorex vulcanorum,Volcano Shrew
Mammalia,Symphalangus syndactylus,Siamang
Mammalia,Synaptomys borealis,"Northern Bog Lemming, Okanagan Bog Lemming"
Mammalia,Synaptomys cooperi,"Kansas Bog Lemming, Southern Bog Lemming"
Mammalia,Syncerus caffer,African Buffalo
Mammalia,Syntheosciurus brochus,"Bangs's Mountain Squirrel, Mountain Squirrel, Neotropical Montane Squirrel"
Mammalia,Tachyglossus aculeatus,"Short-beaked Echidna, Kangaroo Island Echidna"
Mammalia,Tachyoryctes macrocephalus,Big-headed Mole Rat
Mammalia,Tachyoryctes splendens,East African Mole Rat
Mammalia,Tadarida aegyptiaca,Egyptian Free-tailed Bat
Mammalia,Tadarida aloysiisabaudiae,Duke Of Abruzzi's Free-tailed Bat
Mammalia,Tadarida ansorgei,Ansorge's Free-tailed Bat
Mammalia,Tadarida australis,White-striped Free-tailed Bat
Mammalia,Tadarida bemmeleni,Gland-tailed Free-tailed Bat
Mammalia,Tadarida bivittata,Spotted Free-tailed Bat
Mammalia,Tadarida brachyptera,Sierra Leone Free-tailed Bat
Mammalia,Tadarida brasiliensis,"Brazilian Free-tailed Bat, Mexican Free-tailed Bat"
Mammalia,Tadarida bregullae,Fijian Free-tailed Bat
Mammalia,Tadarida chapini,Chapin's Free-tailed Bat
Mammalia,Tadarida condylura,Angolan Free-tailed Bat
Mammalia,Tadarida congica,Medje Free-tailed Bat
Mammalia,Tadarida demonstrator,Mongalla Free-tailed Bat
Mammalia,Tadarida fulminans,"Malagasy Free-tailed Bat, Madagascan Large Free-tailed Bat"
Mammalia,Tadarida gallagheri,Gallagher's Free-tailed Bat
Mammalia,Tadarida insignis,"East Asian Free-tailed Bat, Oriental Free-tailed Bat"
Mammalia,Tadarida jobensis,"Northern Free-tailed Bat, Northern Mastiff Bat, Wrinkle-lipped Mastiff Bat"
Mammalia,Tadarida jobimena,Black And Red Free-tailed Bat
Mammalia,Tadarida johorensis,Northern Free-tailed Bat
Mammalia,Tadarida kuboriensis,New Guinea Free-tailed Bat
Mammalia,Tadarida latouchei,La Touche's Free-tailed Bat
Mammalia,Tadarida leucostigma,Malagasy White-bellied Free-tailed Bat
Mammalia,Tadarida lobata,Kenyan Big-eared Free-tailed Bat
Mammalia,Tadarida major,Lappet-eared Free-tailed Bat
Mammalia,Tadarida midas,Midas Free-tailed Bat
Mammalia,Tadarida mops,Malayan Free-tailed Bat
Mammalia,Tadarida nanula,Dwarf Free-tailed Bat
Mammalia,Tadarida niangarae,Niangara Free-tailed Bat
Mammalia,Tadarida nigeriae,Nigerian Free-tailed Bat
Mammalia,Tadarida niveiventer,White-bellied Free-tailed Bat
Mammalia,Tadarida petersoni,Peterson's Free-tailed Bat
Mammalia,Tadarida plicata,"Wrinkle-lipped Bat, Wrinkle-lipped Free-tailed Bat"
Mammalia,Tadarida pumila,Little Free-tailed Bat
Mammalia,Tadarida russata,Russet Free-tailed Bat
Mammalia,Tadarida sarasinorum,"Sulawesian Free-tailed Bat, Sulawesi Free-tailed Bat"
Mammalia,Tadarida solomonis,Solomons Free-tailed Bat
Mammalia,Tadarida spurrelli,Spurrell's Free-tailed Bat
Mammalia,Tadarida teniotis,European Free-tailed Bat
Mammalia,Tadarida thersites,Railer Bat
Mammalia,Tadarida tomensis,"São Tomé Free-tailed Bat., São Tomé Free-tailed Bat"
Mammalia,Tadarida trevori,Trevor's Free-tailed Bat
Mammalia,Tadarida ventralis,African Giant Free-tailed Bat
Mammalia,Taeromys arcuatus,"Southeastern Mountain Taeromys, Salokko Rat"
Mammalia,Taeromys callitrichus,"Greater Taeromys, Lovely-haired Rat"
Mammalia,Taeromys celebensis,"Long-tailed Taeromys, Celebes Rat"
Mammalia,Taeromys hamatus,"Central Mountain Taeromys, Sulawesi Montane Rat"
Mammalia,Taeromys microbullatus,Small-eared Taeromys
Mammalia,Taeromys punicans,"Reddish-furred Taeromys, Sulawesi Forest Rat"
Mammalia,Taeromys taerae,"Northeastern Mountain Taeromys, Tondano Rat"
Mammalia,Talpa altaica,Siberian Mole
Mammalia,Talpa caeca,"Blind Mole, Mediterranean Mole"
Mammalia,Talpa caucasica,Caucasian Mole
Mammalia,Talpa davidiana,Père David's Mole
Mammalia,Talpa europaea,"Common Mole, European Mole"
Mammalia,Talpa levantis,"Levant Mole, Levantine Mole, LEVANT MOLE"
Mammalia,Talpa occidentalis,Iberian Mole
Mammalia,Talpa romana,Roman Mole
Mammalia,Talpa stankovici,"Balkan Mole, BALKAN MOLE, Stankovic's Mole"
Mammalia,Tamandua mexicana,Northern Tamandua
Mammalia,Tamandua tetradactyla,"Collared Anteater, Lesser Anteater, Northern Tamandua, Southern Tamandua, Tamandua"
Mammalia,Tamias alpinus,Alpine Chipmunk
Mammalia,Tamias amoenus,Yellow-pine Chipmunk
Mammalia,Tamias bulleri,Buller's Chipmunk
Mammalia,Tamias canipes,Gray-footed Chipmunk
Mammalia,Tamias cinereicollis,Gray-collared Chipmunk
Mammalia,Tamias dorsalis,Cliff Chipmunk
Mammalia,Tamias durangae,Durango Chipmunk
Mammalia,Tamias merriami,Merriam's Chipmunk
Mammalia,Tamias minimus,"Least Chipmunk, New Mexico Least Chipmunk, Peñasco Least Chipmunk, Selkirk Least Chipmunk"
Mammalia,Tamias obscurus,"California Chipmunk, Chaparral Chipmunk"
Mammalia,Tamias ochrogenys,Yellow-cheeked Chipmunk
Mammalia,Tamias palmeri,Palmer's Chipmunk
Mammalia,Tamias panamintinus,Panamint Chipmunk
Mammalia,Tamias quadrimaculatus,Long-eared Chipmunk
Mammalia,Tamias quadrivittatus,"Colorado Chipmunk, Organ Mountains Chipmunk"
Mammalia,Tamias ruficaudus,Red-tailed Chipmunk
Mammalia,Tamias rufus,Hopi Chipmunk
Mammalia,Tamias senex,"Allen's Chipmunk, Shadow Chipmunk"
Mammalia,Tamias sibiricus,"Siberian Chipmunk, SIBERIAN CHIPMUNK"
Mammalia,Tamias siskiyou,Siskiyou Chipmunk
Mammalia,Tamias sonomae,Sonoma Chipmunk
Mammalia,Tamias speciosus,Lodgepole Chipmunk
Mammalia,Tamias striatus,Eastern Chipmunk
Mammalia,Tamias townsendii,Townsend's Chipmunk
Mammalia,Tamias umbrinus,"Hidden Forest Chipmunk, Uinta Chipmunk"
