id,string
acn-luzon broad toothed rat,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-luzon broad toothed rat,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-luzon,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-luzon,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-luzo,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-luzo,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-luz,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-luz,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-broad,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-broad,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-broa,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-broa,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-bro,"[""Brown thornbill:eng"", ""Abditomys latidens:sci"", ""Luzon broad toothed rat:eng"", ""Bromeliad arboreal alligator lizard:eng""]"
acr-bro,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abronia taeniata""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abronia taeniata""}, {""source"": ""wdpa"", ""type"": ""protectedarea"", ""name"": ""Acanthiza pusilla""}, {""source"": ""gbif"", ""type"": ""points"", ""name"": ""Acanthiza pusilla""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Acanthiza pusilla""}, {""source"": ""Jetz"", ""type"": ""range"", ""name"": ""Acanthiza pusilla""}]}"
acn-toothed,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-toothed,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-toothe,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-toothe,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-tooth,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-tooth,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-toot,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
acr-toot,"{""rows"": [{""source"": ""gbif"", ""type"": ""points"", ""name"": ""Abditomys latidens""}, {""source"": ""wwf"", ""type"": ""ecoregion"", ""name"": ""Abditomys latidens""}, {""source"": ""iucn"", ""type"": ""range"", ""name"": ""Abditomys latidens""}]}"
acn-too,"[""Luzon broad toothed rat:eng"", ""Abditomys latidens:sci""]"
