scientific,binomial,binomial_index,commons,commons_index,keywords,state,type
Dipodomys heermanni,Dipodomys heermanni,dipodomys heermanni,"Heermann's Kangaroo Rat,Morro Bay Kangaroo-rat,Morro Bay Kangaroo Rat","heermann kangaroo rat,morro bay kangaroo rat","kangaroo,rat,morro,bay,rat,heermann",,BINOMIAL
Albericus gudrunae,,,,,,NO_COMMONS,
Algansea avia,Algansea avia,algansea avia,Remote Chub,remote chub,"chub,remote",,BINOMIAL
Algansea barbata,Algansea barbata,algansea barbata,Lerma Chub,lerma chub,"chub,lerma",,BINOMIAL
Kobus kob,Kobus kob,kobus kob,Kob,Kob,Kob,,BINOMIAL
Esox niger,Esox niger,esox niger,Chain Pickerel,chain pickerel,"pickerel,chain",,BINOMIAL
Mugil curema,Mugil curema,mugil curema,White Mullet,white mullet,"white,mullet",,BINOMIAL
Lophiomys imhausi,Lophiomys imhausi,lophiomys imhausi,Crested Rat,crested rat,"crested,rat",,BINOMIAL
Loxodontomys pikumche,,,,,,NO_COMMONS,
Anas falcata,Anas falcata,anas falcata,Falcated Duck,falcated duck,"falcated,duck",,BINOMIAL
Macroderma gigas,Macroderma gigas,macroderma gigas,"Ghost Bat,Australian False Vampire Bat","ghost bat,australian false vampire bat","ghost,bat,false,australian,vampire",,BINOMIAL
Mastomys pernanus,Mastomys pernanus,mastomys pernanus,"Dwarf Mastomys,Dwarf Multimammate Mouse","dwarf multimammate mouse,dwarf mastomys","multimammate,mastomys,mouse,dwarf",,BINOMIAL
Meriones shawi,Meriones shawi,meriones shawi,Shaw's Jird,shaw jird,"shaw,jird",,BINOMIAL
Mormopterus norfolkensis,Mormopterus norfolkensis,mormopterus norfolkensis,"East-coast Free-tailed Bat,Eastern Little Mastiff Bat","east coast free tailed bat,eastern little mastiff bat","bat,eastern,mastiff,little,free,coast,tailed,east",,BINOMIAL
Nycteris vinsoni,Nycteris vinsoni,nycteris vinsoni,Vinson's Slit-faced Bat,vinson slit faced bat,"faced,slit,bat,vinson",,BINOMIAL
Orthogeomys cavator,Orthogeomys cavator,orthogeomys cavator,Chiriqui Pocket Gopher,chiriqui pocket gopher,"pocket,chiriqui,gopher",,BINOMIAL
Oxymycterus quaestor,,,,,,NO_COMMONS,
Grus rubicunda,Grus rubicunda,grus rubicunda,Brolga,Brolga,Brolga,,BINOMIAL
Phascogale calura,Phascogale calura,phascogale calura,"Red-tailed Phascogale,Red-tailed Wambenger","red tailed wambenger,red tailed phascogale","wambenger,phascogale,red,tailed",,BINOMIAL
Amolops torrentis,,,,,,NO_COMMONS,
Prolagus sardus,Prolagus sardus,prolagus sardus,Sardinian Pika,sardinian pika,"sardinian,pika",,BINOMIAL
Saccolaimus peli,Saccolaimus peli,saccolaimus peli,Pel's Pouched Bat,pel pouched bat,"pel,pouched,bat",,BINOMIAL
Zenaida graysoni,Zenaida graysoni,zenaida graysoni,Socorro Dove,socorro dove,"socorro,dove",,BINOMIAL
Suncus aequatorius,,,,,,NO_COMMONS,
Sylvilagus robustus,Sylvilagus robustus,sylvilagus robustus,Robust Cottontail,robust cottontail,"robust,cottontail",,BINOMIAL
Tatera indica,Tatera indica,tatera indica,Indian Gerbil,indian gerbil,"indian,gerbil",,BINOMIAL
Atelopus senex,,,,,,NO_COMMONS,
Volemys millicens,Volemys millicens,volemys millicens,"Sichuan Vole,Szechuan Vole","sichuan vole,szechuan vole","sichuan,vole,szechuan",,BINOMIAL
Vulpes velox,Vulpes velox,vulpes velox,Swift Fox,swift fox,"fox,swift",,BINOMIAL
Alsodes kaweshkari,,,,,,NO_COMMONS,
Arthroleptis wahlbergii,Arthroleptis wahlbergii,arthroleptis wahlbergii,Bush Squeaker,bush squeaker,"bush,squeaker",,BINOMIAL
Atelopus certus,,,,,,NO_COMMONS,
Barygenys atra,,,,,,NO_COMMONS,
Bufo stuarti,,,,,,NO_COMMONS,
Copiula exspectata,,,,,,NO_COMMONS,
Dyscophus guineti,,,,,,NO_COMMONS,
Cisticola njombe,Cisticola njombe,cisticola njombe,Churring Cisticola,churring cisticola,"cisticola,churring",,BINOMIAL
Eleutherodactylus albipes,,,,,,NO_COMMONS,
Eleutherodactylus rogersi,,,,,,NO_COMMONS,
Gastrotheca chrysosticta,,,,,,NO_COMMONS,
Genyophryne thomsoni,,,,,,NO_COMMONS,
Hyla immaculata,,,,,,NO_COMMONS,
Hylarana debussyi,,,,,,NO_COMMONS,
Hylodes ornatus,,,,,,NO_COMMONS,
Parus cinerascens,Parus cinerascens,parus cinerascens,Ashy Tit,ashy tit,"tit,ashy",,BINOMIAL
Isthmohyla debilis,,,,,,NO_COMMONS,
Kaloula macrocephala,,,,,,NO_COMMONS,
Leptodactylus elenae,,,,,,NO_COMMONS,
Limnonectes limborgi,,,,,,NO_COMMONS,
Litoria piperata,Litoria piperata,litoria piperata,Peppered Tree Frog,peppered tree frog,"tree,frog,peppered",,BINOMIAL
Litoria vocivincens,,,,,,NO_COMMONS,
Nanorana ventripunctata,,,,,,NO_COMMONS,
Nymphargus ruizi,,,,,,NO_COMMONS,
Odorrana monjerai,,,,,,NO_COMMONS,
Pedostibes rugosus,,,,,,NO_COMMONS,
Philautus rugatus,,,,,,NO_COMMONS,
Pleurodema borellii,,,,,,NO_COMMONS,
Poyntonophrynus parkeri,,,,,,NO_COMMONS,
Pristimantis ernesti,,,,,,NO_COMMONS,
Pristimantis saltissimus,,,,,,NO_COMMONS,
Pristimantis spilogaster,,,,,,NO_COMMONS,
Xenophrys minor,Xenophrys minor,xenophrys minor,Little Horned Toad,little horned toad,"toad,little,horned",,BINOMIAL
Pterodroma sandwichensis,Pterodroma sandwichensis,pterodroma sandwichensis,Hawaiian Petrel,hawaiian petrel,"petrel,hawaiian",,BINOMIAL
Vini kuhlii,Vini kuhlii,vini kuhlii,Rimatara Lorikeet,rimatara lorikeet,"rimatara,lorikeet",,BINOMIAL
Amazona festiva,Amazona festiva,amazona festiva,Festive Amazon,festive amazon,"amazon,festive",,BINOMIAL
Apus niansae,Apus niansae,apus niansae,Nyanza Swift,nyanza swift,"swift,nyanza",,BINOMIAL
Coeligena orina,Coeligena orina,coeligena orina,Dusky Starfrontlet,dusky starfrontlet,"starfrontlet,dusky",,BINOMIAL
Aceros plicatus,Aceros plicatus,aceros plicatus,Papuan Hornbill,papuan hornbill,"hornbill,papuan",,BINOMIAL
Cercomacra laeta,Cercomacra laeta,cercomacra laeta,Laeta Antbird,laeta antbird,"laeta,antbird",,BINOMIAL
