scientific,binomial,binomial_index,commons,commons_index,keywords,state,type
Mus baoulei,Mus baoulei,mus baoulei,Baoule's Mouse,baoule mouse,"mouse,baoule",,BINOMIAL
Mus booduga,Mus booduga,mus booduga,"Common Indian Field Mouse,Little Indian Field Mouse","common indian field mouse,little indian field mouse","field,little,indian,mouse,common",,BINOMIAL
Mus bufo,Mus bufo,mus bufo,Toad Mouse,toad mouse,"toad,mouse",,BINOMIAL
Mus callewaerti,Mus callewaerti,mus callewaerti,Callewaert's Mouse,callewaert mouse,"mouse,callewaert",,BINOMIAL
Mus caroli,Mus caroli,mus caroli,"Ryukyu Mouse,Ricefield Mouse","ryukyu mouse,ricefield mouse","ricefield,ryukyu,mouse",,BINOMIAL
Mus cervicolor,Mus cervicolor,mus cervicolor,Fawn-colored Mouse,fawn colored mouse,"fawn,mouse,colored",,BINOMIAL
Mus cookii,Mus cookii,mus cookii,"Cook's Mouse,Ryleyâ€™s Spiny Mouse","ryley spiny mouse,cook mouse","cook,spiny,mouse,ryley",,BINOMIAL
Mus crociduroides,Mus crociduroides,mus crociduroides,Sumatran Shrewlike Mouse,sumatran shrewlike mouse,"sumatran,mouse,shrewlike",,BINOMIAL
Mus cypriacus,,,,,,NO_COMMONS,
Mus famulus,Mus famulus,mus famulus,"Bonhoteâ€™s Mouse,Servant Mouse","servant mouse,bonhote mouse","servant,mouse,bonhote",,BINOMIAL
Mus fernandoni,Mus fernandoni,mus fernandoni,Ceylon Spiny Mouse,ceylon spiny mouse,"mouse,ceylon,spiny",,BINOMIAL
Mus fragilicauda,Mus fragilicauda,mus fragilicauda,Sheath-tailed Mouse,sheath tailed mouse,"sheath,mouse,tailed",,BINOMIAL
Mus goundae,Mus goundae,mus goundae,Gounda Mouse,gounda mouse,"mouse,gounda",,BINOMIAL
Mus haussa,Mus haussa,mus haussa,Hausa Mouse,hausa mouse,"mouse,hausa",,BINOMIAL
Mus indutus,Mus indutus,mus indutus,Desert Pygmy Mouse,desert pygmy mouse,"mouse,desert,pygmy",,BINOMIAL
Mus macedonicus,Mus macedonicus,mus macedonicus,"Balkan Short-tailed Mouse,BALKAN SHORT-TAILED MOUSE,Macedonian Mouse","macedonian mouse,balkan short tailed mouse","tailed,short,mouse,balkan,macedonian,short,tailed,balkan,mouse",,BINOMIAL
Mus mahomet,Mus mahomet,mus mahomet,Mahomet Mouse,mahomet mouse,"mouse,mahomet",,BINOMIAL
Mus mattheyi,Mus mattheyi,mus mattheyi,Matthey's Mouse,matthey mouse,"mouse,matthey",,BINOMIAL
Mus mayori,Mus mayori,mus mayori,"Mayorâ€™s Mouse,Highland Rat,Mayor's Mouse","mayor mouse,highland rat","rat,highland,mouse,mayor",,BINOMIAL
Mus minutoides,Mus minutoides,mus minutoides,Pygmy Mouse,pygmy mouse,"mouse,pygmy",,BINOMIAL
Cyprinus carpio,Cyprinus carpio,cyprinus carpio,Common Carp,common carp,"carp,common",,BINOMIAL
Mus musculoides,,,,,,NO_COMMONS,
Mus musculus,Mus musculus,mus musculus,"House Mouse,HOUSE MOUSE",house mouse,"house,mouse,mouse,house",,BINOMIAL
Mus neavei,Mus neavei,mus neavei,Neave's Mouse,neave mouse,"mouse,neave",,BINOMIAL
Mus orangiae,Mus orangiae,mus orangiae,"Free State Pygmy Mouse,Orange Mouse","free state pygmy mouse,orange mouse","orange,state,mouse,free,pygmy",,BINOMIAL
Mus oubanguii,Mus oubanguii,mus oubanguii,Oubangui Mouse,oubangui mouse,"mouse,oubangui",,BINOMIAL
Mus pahari,Mus pahari,mus pahari,"Gairdner's Shrewmouse,Sikkim Mouse","gairdner shrewmouse,sikkim mouse","mouse,gairdner,shrewmouse,sikkim",,BINOMIAL
Mus phillipsi,Mus phillipsi,mus phillipsi,"Wroughtonâ€™s Small Spiny Mouse,Phillips's Mouse","phillips mouse,wroughton small spiny mouse","small,spiny,wroughton,mouse,phillips",,BINOMIAL
Mus platythrix,Mus platythrix,mus platythrix,"Brown Spiny Mouse,Flat-haired Mouse","flat haired mouse,brown spiny mouse","brown,haired,spiny,mouse,flat",,BINOMIAL
Mus saxicola,Mus saxicola,mus saxicola,"Brown Spiny Mouse,Rock-loving Mouse","rock loving mouse,brown spiny mouse","brown,loving,spiny,mouse,rock",,BINOMIAL
Mus setulosus,Mus setulosus,mus setulosus,Peter's Mouse,peter mouse,"peter,mouse",,BINOMIAL
Mus setzeri,Mus setzeri,mus setzeri,"Setzer's Mouse,Setzer's Pygmy Mouse","setzer pygmy mouse,setzer mouse","mouse,setzer,pygmy",,BINOMIAL
Mus shortridgei,Mus shortridgei,mus shortridgei,"Shortridgeâ€™s Mouse,Shortridge's Mouse",shortridge mouse,"shortridge,mouse",,BINOMIAL
Mus sorella,Mus sorella,mus sorella,"Thomas's Mouse,Thomas's Pygmy Mouse","thomas mouse,thomas pygmy mouse","thomas,mouse,pygmy",,BINOMIAL
Mus spicilegus,Mus spicilegus,mus spicilegus,"Mound-building Mouse,Steppe Mouse","mound building mouse,steppe mouse","building,mound,mouse,steppe",,BINOMIAL
Mus spretus,Mus spretus,mus spretus,"Algerian Mouse,Western Mediterranean Mouse,WESTERN MEDITERRANEAN MOUSE","western mediterranean mouse,algerian mouse","algerian,mediterranean,mediterranean,western,mouse,mouse,western",,BINOMIAL
Mus tenellus,Mus tenellus,mus tenellus,Delicate Mouse,delicate mouse,"mouse,delicate",,BINOMIAL
Mus terricolor,Mus terricolor,mus terricolor,Earth-colored Mouse,earth colored mouse,"earth,mouse,colored",,BINOMIAL
Mus triton,Mus triton,mus triton,"Gray-bellied Mouse,Gray-bellied Pygmy Mouse","gray bellied mouse,gray bellied pygmy mouse","gray,bellied,mouse,pygmy",,BINOMIAL
Mus vulcani,Mus vulcani,mus vulcani,"Javan Shrew-like Mouse,Volcano Mouse","volcano mouse,javan shrew like mouse","shrew,volcano,javan,mouse,like",,BINOMIAL
Muscardinus avellanarius,Muscardinus avellanarius,muscardinus avellanarius,"Common Dormouse,Hazel Dormouse","common dormouse,hazel dormouse","dormouse,hazel,common",,BINOMIAL
Musonycteris harrisoni,Musonycteris harrisoni,musonycteris harrisoni,Banana Bat,banana bat,"bat,banana",,BINOMIAL
Mustela africana,Mustela africana,mustela africana,"Amazon Weasel,Tropical Weasel","amazon weasel,tropical weasel","tropical,amazon,weasel",,BINOMIAL
Mustela altaica,Mustela altaica,mustela altaica,"Altai Weasel,Mountain Weasel,Pale Weasel","pale weasel,altai weasel,mountain weasel","mountain,altai,pale,weasel",,BINOMIAL
Mustela erminea,Mustela erminea,mustela erminea,"Ermine,Short-tailed Weasel,Stoat","short tailed weasel,ermine,stoat","ermine,short,weasel,stoat,tailed",,BINOMIAL
Mustela eversmanii,Mustela eversmanii,mustela eversmanii,"Steppe Polecat,PUTOIS DES STEPPES,Steppe Weasel","putois des steppes,steppe polecat,steppe weasel","des,putois,steppes,polecat,weasel,steppe",,BINOMIAL
Mustela felipei,Mustela felipei,mustela felipei,Colombian Weasel,colombian weasel,"colombian,weasel",,BINOMIAL
Mustela frenata,Mustela frenata,mustela frenata,Long-tailed Weasel,long tailed weasel,"weasel,long,tailed",,BINOMIAL
Mustela itatsi,Mustela itatsi,mustela itatsi,Japanese Weasel,japanese weasel,"japanese,weasel",,BINOMIAL
Mustela kathiah,Mustela kathiah,mustela kathiah,Yellow-bellied Weasel,yellow bellied weasel,"bellied,weasel,yellow",,BINOMIAL
Mustela lutreola,Mustela lutreola,mustela lutreola,European Mink,european mink,"mink,european",,BINOMIAL
Mustela lutreolina,Mustela lutreolina,mustela lutreolina,Indonesian Mountain Weasel,indonesian mountain weasel,"mountain,indonesian,weasel",,BINOMIAL
Mustela nigripes,Mustela nigripes,mustela nigripes,Black-footed Ferret,black footed ferret,"footed,ferret,black",,BINOMIAL
Mustela nivalis,Mustela nivalis,mustela nivalis,"Least Weasel,Weasel","weasel,least weasel","weasel,least",,BINOMIAL
Mustela nudipes,Mustela nudipes,mustela nudipes,"Malay Weasel,Malayan Weasel","malayan weasel,malay weasel","malayan,malay,weasel",,BINOMIAL
Mustela putorius,Mustela putorius,mustela putorius,European Polecat,european polecat,"polecat,european",,BINOMIAL
Mustela sibirica,Mustela sibirica,mustela sibirica,"SIBERIAN WEASEL,Siberian Weasel",siberian weasel,"weasel,siberian,siberian,weasel",,BINOMIAL
Mustela strigidorsa,Mustela strigidorsa,mustela strigidorsa,"Stripe-backed Weasel,Back-striped Weasel","stripe backed weasel,back striped weasel","backed,striped,back,stripe,weasel",,BINOMIAL
Mustela subpalmata,Mustela subpalmata,mustela subpalmata,Egyptian Weasel,egyptian weasel,"weasel,egyptian",,BINOMIAL
Mydaus javanensis,Mydaus javanensis,mydaus javanensis,"Sunda Stink-badger,Indonesian Stink Badger,Malayan Stink Badger,Malay Badger Or Teledu,Sunda Stink Badger","malayan stink badger,malay badger teledu,indonesian stink badger,sunda stink badger","teledu,malayan,sunda,indonesian,malay,stink,badger,badger",,BINOMIAL
Mydaus marchei,Mydaus marchei,mydaus marchei,"Palawan Stink-badger,Palawan Stink Badger",palawan stink badger,"palawan,stink,badger,badger",,BINOMIAL
Myocastor coypus,Myocastor coypus,myocastor coypus,"Coypu,Nutria","nutria,coypu","nutria,coypu",,BINOMIAL
Myodes andersoni,Myodes andersoni,myodes andersoni,"Andersonâ€™s Red-backed Vole,Anderson's Red-backed Vole,Japanese Red-backed Vole,Wakayama Red-backed Vole","japanese red backed vole,anderson red backed vole,wakayama red backed vole","vole,japanese,anderson,backed,wakayama,red",,BINOMIAL
Myodes californicus,Myodes californicus,myodes californicus,Western Red-backed Vole,western red backed vole,"backed,vole,western,red",,BINOMIAL
Myodes centralis,Myodes centralis,myodes centralis,Tien Shan Red-backed Vole,tien shan red backed vole,"backed,shan,tien,red,vole",,BINOMIAL
Myodes gapperi,Myodes gapperi,myodes gapperi,"Revillagigedo Island Red-backed Vole,Southern Red-backed Vole","revillagigedo island red backed vole,southern red backed vole","vole,island,southern,revillagigedo,backed,red",,BINOMIAL
Myodes glareolus,Myodes glareolus,myodes glareolus,Bank Vole,bank vole,"vole,bank",,BINOMIAL
Myodes regulus,Myodes regulus,myodes regulus,"Southern Red-backed Vole,Korean Red-backed Vole,Royal Vole","korean red backed vole,royal vole,southern red backed vole","vole,royal,southern,backed,korean,red",,BINOMIAL
Myodes rex,Myodes rex,myodes rex,Hokkaido Red-backed Vole,hokkaido red backed vole,"backed,vole,hokkaido,red",,BINOMIAL
Myodes rufocanus,Myodes rufocanus,myodes rufocanus,"Grey Red-backed Vole,Gray Red-backed Vole,GREY-SIDED VOLE","grey sided vole,grey red backed vole,gray red backed vole","vole,gray,sided,grey,grey,vole,backed,red",,BINOMIAL
Myodes rutilus,Myodes rutilus,myodes rutilus,"Northern Red-backed Vole,RED VOLE","northern red backed vole,red vole","vole,vole,northern,red,backed,red",,BINOMIAL
Myodes shanseius,Myodes shanseius,myodes shanseius,"Shanxi Red-backed Vole,Shansei Vole","shanxi red backed vole,shansei vole","backed,vole,shansei,red,shanxi",,BINOMIAL
Myodes smithii,Myodes smithii,myodes smithii,"Smith's Red-backed Vole,Smith's Vole","smith vole,smith red backed vole","backed,vole,smith,red",,BINOMIAL
Myoictis leucura,Myoictis leucura,myoictis leucura,Woolleyâ€™s Three-striped Dasyure,woolley three striped dasyure,"striped,woolley,three,dasyure",,BINOMIAL
Myoictis melas,Myoictis melas,myoictis melas,"MÃ¼llerâ€™s Three-striped Dasyure,Three-striped Dasyure","three striped dasyure,ller three striped dasyure","ller,striped,three,dasyure",,BINOMIAL
Myoictis wallacei,Myoictis wallacei,myoictis wallacei,Wallace's Three-striped Dasyure,wallace three striped dasyure,"dasyure,striped,three,wallace",,BINOMIAL
Myoictis wavicus,Myoictis wavicus,myoictis wavicus,Tateâ€™s Three-striped Dasyure,tate three striped dasyure,"tate,striped,three,dasyure",,BINOMIAL
Myomimus personatus,Myomimus personatus,myomimus personatus,Masked Mouse-tailed Dormouse,masked mouse tailed dormouse,"dormouse,mouse,masked,tailed",,BINOMIAL
Myomimus roachi,Myomimus roachi,myomimus roachi,"Mouse-tailed Dormouse,Roach's Mouse-tailed Dormouse,ROACH'S MOUSE-TAILED DORMOUSE","mouse tailed dormouse,roach mouse tailed dormouse","dormouse,mouse,tailed,dormouse,tailed,roach,mouse,roach",,BINOMIAL
Myomimus setzeri,Myomimus setzeri,myomimus setzeri,Setzer's Mouse-tailed Dormouse,setzer mouse tailed dormouse,"dormouse,mouse,setzer,tailed",,BINOMIAL
Myomyscus angolensis,Myomyscus angolensis,myomyscus angolensis,"Angolan Multimammate Mouse,Angolan Myomyscus","angolan myomyscus,angolan multimammate mouse","myomyscus,multimammate,mouse,angolan",,BINOMIAL
Myomyscus brockmani,Myomyscus brockmani,myomyscus brockmani,"Brockman's Myomyscus,Brockmanâ€™s Myomyscus",brockman myomyscus,"myomyscus,brockman",,BINOMIAL
Myomyscus verreauxii,Myomyscus verreauxii,myomyscus verreauxii,"Verreaux's Mouse,Verreaux's White-footed Rat","verreaux white footed rat,verreaux mouse","footed,verreaux,mouse,white,rat",,BINOMIAL
Myomyscus yemeni,Myomyscus yemeni,myomyscus yemeni,"Yemeni Mouse,Yemen White-footed Rat","yemen white footed rat,yemeni mouse","footed,rat,yemeni,white,yemen,mouse",,BINOMIAL
Myonycteris brachycephala,Myonycteris brachycephala,myonycteris brachycephala,Sao Tomé Collared Fruit Bat,sao tom collared fruit bat,"collared,bat,fruit,sao,tom",,BINOMIAL
Myonycteris relicta,Myonycteris relicta,myonycteris relicta,"East African Little Collared Fruit Bat,Bergmans's Collared Fruit Bat","east african little collared fruit bat,bergmans collared fruit bat","little,bergmans,bat,collared,fruit,african,east",,BINOMIAL
Myonycteris torquata,Myonycteris torquata,myonycteris torquata,Little Collared Fruit Bat,little collared fruit bat,"collared,little,fruit,bat",,BINOMIAL
Myoprocta acouchy,Myoprocta acouchy,myoprocta acouchy,Red Acouchi,red acouchi,"acouchi,red",,BINOMIAL
Myoprocta pratti,Myoprocta pratti,myoprocta pratti,Green Acouchi,green acouchi,"green,acouchi",,BINOMIAL
Myopterus daubentonii,Myopterus daubentonii,myopterus daubentonii,Daubenton's Free-tailed Bat,daubenton free tailed bat,"bat,daubenton,free,tailed",,BINOMIAL
Myopterus whitleyi,Myopterus whitleyi,myopterus whitleyi,Bini Free-tailed Bat,bini free tailed bat,"bat,bini,free,tailed",,BINOMIAL
Myopus schisticolor,Myopus schisticolor,myopus schisticolor,Wood Lemming,wood lemming,"wood,lemming",,BINOMIAL
Myosciurus pumilio,Myosciurus pumilio,myosciurus pumilio,African Pygmy Squirrel,african pygmy squirrel,"pygmy,squirrel,african",,BINOMIAL
Myosorex babaulti,Myosorex babaulti,myosorex babaulti,Babault's Mouse Shrew,babault mouse shrew,"shrew,mouse,babault",,BINOMIAL
Myosorex blarina,Myosorex blarina,myosorex blarina,Montane Mouse Shrew,montane mouse shrew,"shrew,mouse,montane",,BINOMIAL
Myosorex cafer,Myosorex cafer,myosorex cafer,"Dark-footed Forest Shrew,Dark-footed Mouse Shrew","dark footed forest shrew,dark footed mouse shrew","dark,footed,shrew,forest,mouse",,BINOMIAL
Myosorex eisentrauti,Myosorex eisentrauti,myosorex eisentrauti,Eisentraut's Mouse Shrew,eisentraut mouse shrew,"shrew,mouse,eisentraut",,BINOMIAL
Myosorex geata,Myosorex geata,myosorex geata,Geata Mouse Shrew,geata mouse shrew,"shrew,geata,mouse",,BINOMIAL
Myosorex kihaulei,Myosorex kihaulei,myosorex kihaulei,Kihaule's Mouse Shrew,kihaule mouse shrew,"kihaule,shrew,mouse",,BINOMIAL
Myosorex longicaudatus,Myosorex longicaudatus,myosorex longicaudatus,Long-tailed Forest Shrew,long tailed forest shrew,"shrew,forest,long,tailed",,BINOMIAL
Myosorex okuensis,Myosorex okuensis,myosorex okuensis,Oku Mouse Shrew,oku mouse shrew,"shrew,mouse,oku",,BINOMIAL
Myosorex rumpii,Myosorex rumpii,myosorex rumpii,Rumpi Mouse Shrew,rumpi mouse shrew,"rumpi,shrew,mouse",,BINOMIAL
Myosorex schalleri,Myosorex schalleri,myosorex schalleri,Schaller's Mouse Shrew,schaller mouse shrew,"shrew,mouse,schaller",,BINOMIAL
Myosorex sclateri,Myosorex sclateri,myosorex sclateri,"Sclater's Mouse Shrew,Sclater's Tiny Mouse Shrew","sclater mouse shrew,sclater tiny mouse shrew","shrew,mouse,tiny,sclater",,BINOMIAL
Myosorex tenuis,Myosorex tenuis,myosorex tenuis,Thin Mouse Shrew,thin mouse shrew,"shrew,mouse,thin",,BINOMIAL
Myosorex varius,Myosorex varius,myosorex varius,Forest Shrew,forest shrew,"shrew,forest",,BINOMIAL
Myosorex zinki,Myosorex zinki,myosorex zinki,Kilimanjaro Mouse Shrew,kilimanjaro mouse shrew,"shrew,kilimanjaro,mouse",,BINOMIAL
Myospalax aspalax,Myospalax aspalax,myospalax aspalax,False Zokor,false zokor,"zokor,false",,BINOMIAL
Myospalax myospalax,Myospalax myospalax,myospalax myospalax,"Siberian Zokor,Altai Zokor","altai zokor,siberian zokor","zokor,altai,siberian",,BINOMIAL
Myospalax psilurus,Myospalax psilurus,myospalax psilurus,"Transbaikal Zokor,Manchurian Zokor","transbaikal zokor,manchurian zokor","zokor,transbaikal,manchurian",,BINOMIAL
Myotis adversus,Myotis adversus,myotis adversus,"Large-footed Myotis,Grey Large-footed Bat,Large-footed Bat,Large-footed Mouse-eared Bat","large footed myotis,large footed bat,grey large footed bat,large footed mouse eared bat","bat,eared,myotis,grey,large,footed,mouse",,BINOMIAL
Myotis aelleni,Myotis aelleni,myotis aelleni,Southern Myotis,southern myotis,"southern,myotis",,BINOMIAL
Myotis albescens,Myotis albescens,myotis albescens,Silver-tipped Myotis,silver tipped myotis,"tipped,silver,myotis",,BINOMIAL
Myotis alcathoe,Myotis alcathoe,myotis alcathoe,"ALCATHOE MYOTIS,Alcathoe Myotis,Alcathoe Whiskered Bat,ALCATHOE WHISKERED BAT","alcathoe myotis,alcathoe whiskered bat","bat,whiskered,myotis,bat,myotis,alcathoe,whiskered,alcathoe",,BINOMIAL
Myotis altarium,Myotis altarium,myotis altarium,"Szechwan Myotis,South-western Mouse-eared Bat","south western mouse eared bat,szechwan myotis","bat,szechwan,eared,myotis,western,mouse,south",,BINOMIAL
Myotis anjouanensis,Myotis anjouanensis,myotis anjouanensis,Anjouan Myotis,anjouan myotis,"anjouan,myotis",,BINOMIAL
Myotis annamiticus,Myotis annamiticus,myotis annamiticus,Annamit Myotis,annamit myotis,"annamit,myotis",,BINOMIAL
Myotis annectans,Myotis annectans,myotis annectans,"Hairy-faced Bat,Intermediate Bat","intermediate bat,hairy faced bat","hairy,faced,bat,intermediate",,BINOMIAL
Myotis atacamensis,Myotis atacamensis,myotis atacamensis,"Atacama Myotis,Atacaman Myotis","atacaman myotis,atacama myotis","atacaman,atacama,myotis",,BINOMIAL
Myotis ater,Myotis ater,myotis ater,"Peters's Myotis,Small Black Myotis","peters myotis,small black myotis","small,black,myotis,peters",,BINOMIAL
Myotis aurascens,Myotis aurascens,myotis aurascens,"STEPPE WHISKERED BAT,Steppe Whiskered Bat",steppe whiskered bat,"bat,whiskered,bat,steppe,whiskered,steppe",,BINOMIAL
Myotis auriculus,Myotis auriculus,myotis auriculus,Southwestern Myotis,southwestern myotis,"myotis,southwestern",,BINOMIAL
Myotis australis,Myotis australis,myotis australis,"Australian Myotis,Ustrailian Myotis","australian myotis,ustrailian myotis","australian,myotis,ustrailian",,BINOMIAL
Myotis austroriparius,Myotis austroriparius,myotis austroriparius,Southeastern Myotis,southeastern myotis,"southeastern,myotis",,BINOMIAL
Myotis bechsteinii,Myotis bechsteinii,myotis bechsteinii,"BECHSTEIN'S MYOTIS,Bechstein's Bat,Bechstein's Myotis","bechstein myotis,bechstein bat","bechstein,bat,bechstein,myotis,myotis",,BINOMIAL
Boophis doulioti,,,,,,NO_COMMONS,
Myotis blythii,Myotis blythii,myotis blythii,"LESSER MOUSE-EARED MYOTIS,Lesser Mouse-eared Bat,Lesser Mouse-eared Myotis","lesser mouse eared bat,lesser mouse eared myotis","lesser,bat,eared,eared,mouse,myotis,myotis,lesser,mouse",,BINOMIAL
Myotis bocagii,Myotis bocagii,myotis bocagii,Rufous Mouse-eared Bat,rufous mouse eared bat,"mouse,bat,rufous,eared",,BINOMIAL
Myotis bombinus,Myotis bombinus,myotis bombinus,Far Eastern Myotis,far eastern myotis,"far,myotis,eastern",,BINOMIAL
Myotis brandtii,Myotis brandtii,myotis brandtii,"Brandt's Myotis,Brandt's Bat","brandt myotis,brandt bat","bat,myotis,brandt",,BINOMIAL
Myotis bucharensis,Myotis bucharensis,myotis bucharensis,Bokhara Whiskered Bat,bokhara whiskered bat,"bat,whiskered,bokhara",,BINOMIAL
Myotis californicus,Myotis californicus,myotis californicus,"California Myotis,Californian Myotis","california myotis,californian myotis","california,myotis,californian",,BINOMIAL
Myotis capaccinii,Myotis capaccinii,myotis capaccinii,Long-fingered Bat,long fingered bat,"fingered,bat,long",,BINOMIAL
Myotis chiloensis,Myotis chiloensis,myotis chiloensis,Chilean Myotis,chilean myotis,"chilean,myotis",,BINOMIAL
Myotis chinensis,Myotis chinensis,myotis chinensis,Large Myotis,large myotis,"large,myotis",,BINOMIAL
Myotis ciliolabrum,Myotis ciliolabrum,myotis ciliolabrum,Western Small-footed Myotis,western small footed myotis,"small,footed,western,myotis",,BINOMIAL
Myotis cobanensis,Myotis cobanensis,myotis cobanensis,Guatemalan Myotis,guatemalan myotis,"guatemalan,myotis",,BINOMIAL
Myotis csorbai,Myotis csorbai,myotis csorbai,"Csorbaâ€™s Mouse-eared Myotis.,Csorbaâ€™s Mouse-eared Bat","csorba mouse eared myotis,csorba mouse eared bat","mouse,bat,csorba,myotis,eared",,BINOMIAL
Myotis dasycneme,Myotis dasycneme,myotis dasycneme,"POND MYOTIS,Pond Bat,Pond Myotis","pond bat,pond myotis","pond,bat,myotis,myotis,pond",,BINOMIAL
Myotis daubentonii,Myotis daubentonii,myotis daubentonii,"Daubenton's Myotis,DAUBENTON'S MYOTIS,Daubenton's Bat","daubenton bat,daubenton myotis","daubenton,bat,myotis,daubenton,myotis",,BINOMIAL
Myotis davidii,Myotis davidii,myotis davidii,David's Myotis,david myotis,"myotis,david",,BINOMIAL
Myotis dieteri,,,,,,NO_COMMONS,
Myotis dinellii,,,,,,NO_COMMONS,
Myotis dominicensis,Myotis dominicensis,myotis dominicensis,Dominican Myotis,dominican myotis,"dominican,myotis",,BINOMIAL
Myotis elegans,Myotis elegans,myotis elegans,Elegant Myotis,elegant myotis,"elegant,myotis",,BINOMIAL
Myotis emarginatus,Myotis emarginatus,myotis emarginatus,"Geoffroy's Bat,Geoffroy's Myotis,GEOFFROY'S MYOTIS","geoffroy myotis,geoffroy bat","bat,geoffroy,myotis,myotis,geoffroy",,BINOMIAL
Myotis evotis,Myotis evotis,myotis evotis,Long-eared Myotis,long eared myotis,"eared,long,myotis",,BINOMIAL
Myotis fimbriatus,Myotis fimbriatus,myotis fimbriatus,"Fringed Long-footed Myotis,Hairy-legged Myotis","hairy legged myotis,fringed long footed myotis","hairy,fringed,myotis,legged,footed,long",,BINOMIAL
Myotis findleyi,Myotis findleyi,myotis findleyi,Findley's Myotis,findley myotis,"myotis,findley",,BINOMIAL
Myotis formosus,Myotis formosus,myotis formosus,"Hodgson's Bat,Bartel's Myotis,Hodgson's Myotis","bartel myotis,hodgson bat,hodgson myotis","bartel,bat,myotis,hodgson",,BINOMIAL
Myotis fortidens,Myotis fortidens,myotis fortidens,Cinnamon Myotis,cinnamon myotis,"cinnamon,myotis",,BINOMIAL
Myotis frater,Myotis frater,myotis frater,"Fraternal Myotis,Long-tailed Whiskered Bat","long tailed whiskered bat,fraternal myotis","bat,myotis,long,tailed,whiskered,fraternal",,BINOMIAL
Myotis gomantongensis,Myotis gomantongensis,myotis gomantongensis,Gomantong Myotis,gomantong myotis,"gomantong,myotis",,BINOMIAL
Caecilia leucocephala,,,,,,NO_COMMONS,
Myotis goudoti,Myotis goudoti,myotis goudoti,Malagasy Mouse-eared Bat,malagasy mouse eared bat,"bat,mouse,eared,malagasy",,BINOMIAL
Myotis grisescens,Myotis grisescens,myotis grisescens,"Gray Myotis,Grey Bat","gray myotis,grey bat","gray,bat,myotis,grey",,BINOMIAL
Myotis hajastanicus,Myotis hajastanicus,myotis hajastanicus,"Armenian Myotis,Armenian Whiskered Bat","armenian whiskered bat,armenian myotis","bat,whiskered,armenian,myotis",,BINOMIAL
Myotis hasseltii,Myotis hasseltii,myotis hasseltii,"Lesser Large-footed Myotis,Hasselt's Large-footed Myotis,Lesser Large-footed Bat,Lesser Large-tooth Bat,The Brown Bat,Van Hasselt's Bat","van hasselt bat,lesser large footed bat,lesser large tooth bat,the brown bat,hasselt large footed myotis,lesser large footed myotis","large,bat,hasselt,van,brown,myotis,tooth,lesser,footed,the",,BINOMIAL
Myotis hermani,Myotis hermani,myotis hermani,Herman's Myotis,herman myotis,"herman,myotis",,BINOMIAL
Myotis horsfieldii,Myotis horsfieldii,myotis horsfieldii,"Horsfield's Myotis,Common Asiatic Myotis,Horsfield's Bat,Lesser Large-tooth Bat","horsfield myotis,horsfield bat,lesser large tooth bat,common asiatic myotis","asiatic,bat,large,myotis,tooth,lesser,common,horsfield",,BINOMIAL
Myotis ikonnikovi,Myotis ikonnikovi,myotis ikonnikovi,"Ikonnikov's Bat,Ikonnikov's Myotis,Ikonnikov's Whiskered Bat","ikonnikov whiskered bat,ikonnikov myotis,ikonnikov bat","ikonnikov,bat,whiskered,myotis",,BINOMIAL
Myotis insularum,Myotis insularum,myotis insularum,Insular Myotis,insular myotis,"insular,myotis",,BINOMIAL
Myotis keaysi,Myotis keaysi,myotis keaysi,Hairy-legged Myotis,hairy legged myotis,"hairy,myotis,legged",,BINOMIAL
Myotis keenii,Myotis keenii,myotis keenii,Keen's Myotis,keen myotis,"keen,myotis",,BINOMIAL
Myotis laniger,Myotis laniger,myotis laniger,Chinese Water Myotis,chinese water myotis,"water,myotis,chinese",,BINOMIAL
Myotis leibii,Myotis leibii,myotis leibii,Eastern Small-footed Myotis,eastern small footed myotis,"small,footed,myotis,eastern",,BINOMIAL
Myotis levis,Myotis levis,myotis levis,Yellowish Myotis,yellowish myotis,"yellowish,myotis",,BINOMIAL
Myotis longipes,Myotis longipes,myotis longipes,Kashmir Cave Bat,kashmir cave bat,"bat,cave,kashmir",,BINOMIAL
Myotis lucifugus,Myotis lucifugus,myotis lucifugus,"Little Brown Bat,Little Brown Myotis","little brown myotis,little brown bat","brown,little,bat,myotis",,BINOMIAL
Myotis macrodactylus,Myotis macrodactylus,myotis macrodactylus,Big-footed Myotis,big footed myotis,"big,myotis,footed",,BINOMIAL
Myotis macropus,Myotis macropus,myotis macropus,Large-footed Myotis,large footed myotis,"large,footed,myotis",,BINOMIAL
Myotis macrotarsus,Myotis macrotarsus,myotis macrotarsus,"Pallid Large-footed Myotis,Philippine Large-footed Myotis","pallid large footed myotis,philippine large footed myotis","large,footed,philippine,pallid,myotis",,BINOMIAL
Myotis martiniquensis,Myotis martiniquensis,myotis martiniquensis,Schwartz's Myotis,schwartz myotis,"myotis,schwartz",,BINOMIAL
Myotis melanorhinus,Myotis melanorhinus,myotis melanorhinus,Dark-nosed Small-footed Myotis,dark nosed small footed myotis,"dark,small,nosed,myotis,footed",,BINOMIAL
Myotis moluccarum,Myotis moluccarum,myotis moluccarum,"Maluku Myotis,Arafura Large-footed Bat","arafura large footed bat,maluku myotis","maluku,bat,arafura,myotis,large,footed",,BINOMIAL
